id_lancamento;data_lancamento;competencia;centro_custo;projeto;unidade;fornecedor;cnpj;categoria;subcategoria;tipo_documento;numero_documento;descricao;quantidade;valor_unitario;valor_total;moeda;forma_pagamento;status_pagamento;aprovador
1125;11/06/2022;2022-06;RH;Porto Sul; Brasília;Consultoria Delta;6,5277E+14;Materiais;Ferramentas;Boleto;731931; Ferramentas referente a Porto Sul;5.0;777.48;3887.4;USD;Boleto;Em análise;Paulo Andrade
30;26/05/2023;2023-05;RH  ; Translado Offshore;Manaus;Topografia Silva ME;7,25267E+13;Logística; Embalagens;NF-e;757072;Embalagens referente a Translado Offshore;3.0;519,83;1559,49;BRL;Cartão;Em análise;Paulo Andrade
1221;22/03/2025;2025-03;RH;EÓLICAS NE;Brasília;Constrular LTDA;9,33708E+13;Energia;Geradores;Di;471974;Geradores referente a Eólicas NE;2.0;707.58;1415.16;BRL;Boleto;Pendente;João Pereira
480;25/04/2022;2022-04;RH;Ponte Amazônia;;ALFA ENERGIA S.A.;29.060.804/6287-24;Locação;; NFS-e;711597;Veículos referente a Ponte Amazônia;1.0;285.77;285.77;USD; TED;Pendente;Renato Leal
1375;09/07/2024;2024-07;Engenharia;Refinaria RN;Porto Alegre;Oficina do Aço;5,93181E+14;Energia;DIESEL;NFS-e;882475;DIESEL REFERENTE A REFINARIA RN;4.0;;1375.92;EUR;Ted;Pago;Renato Leal
1088;28/05/2022;2022/05;Rh;Translado Offshore  ;Porto Alegre  ;Hotelaria Nordeste;2,04708E+11;Logística;Armazenagem;NFS-e;663900;Armazenagem referente a Translado Offshore;4.0;345.05;1380.2;BRL;;Aprovado;Renato Leal
232;29/03/2023;2023-03;RH  ;TRANSLADO OFFSHORE;Natal;Hotelaria Nordeste;5,34527E+13;Consultoria;Engenharia;NFS-e;252550;Engenharia referente a Translado Offshore;;111.51;334.53;BRL;Caixa;Pendente;Carla lima
1260;17/03/2025;2025-03;Financeiro;EÓLICAS NE;NAN;Serviços Gerais BR;4,71179E+13;Consultoria;Auditoria;Boleto  ;478035;Auditoria referente a Eólicas NE;2.0;338,41;676,82;BRL;Boleto;Pago;Bruno Araújo
213;17/03/2025;2025-03;Segurança;Ponte Amazônia; São Paulo;Companhia de Máquinas Orion;95.893.651/9766-70;Logística;EMBALAGENS;BOLETO;543741;Embalagens referente a Ponte Amazônia  ;20.0;571.61;11432.2;BRL;Pix;Pendente;João Pereira
308;30/06/2022;2022-06;Segurança;Porto Sul;Fortaleza;Alfa Energia S.A.;1,63767E+14;Serviços;Soldagem;NFS-e;508724;Soldagem referente a Porto Sul;10.0;455.59;4555.9;BRL;Ted;Aprovado;Marta Souza
728;11/03/2023;2023-03;Compras;DataCenter Recife;Belo Horizonte;Companhia de Máquinas Orion;5,41765E+14;TI;Cloud;NFS-e;539815; Cloud referente a DataCenter Recife;2.0;1428.88;2857.76;USD;Boleto;Aprovado;Carla Lima
1363;29/01/2022;2022-01;TI  ;Linha 4 Metro SP;CURITIBA;Constrular LTDA  ;76.708.988/5313-60;Materiais;Tubulações;NFS-e;971480;Tubulações referente a Linha 4 Metro SP;10.0;;662.1;EUR;PIX;Aprovado;Marta Souza
448;12/10/2024;2024-10;RH;Ponte Amazônia;Brasília;GLOBAL TOOLS BRASIL;9,59166E+13;Pessoal;RECRUTAMENTO;Recibo;724902;;3.0;638.47;1915.41;BRL;Caixa;Aprovado;Renato Leal
382;16/05/2024;2024-05;TI;Translado Offshore;Fortaleza;Transportes Atlântico  ;96.090.051/0515-97;Logística;Frete  ;BOLETO;211375;Frete referente a Translado Offshore;3.0;719.71;2159.13;BRL;TED;Rejeitado;Marta Souza
1339;02/07/2022;2022-07;RH;Translado Offshore;Salvador;Segurpro monitoramento;62.973.382/6069-15;Serviços  ;Topografia;Recibo;495469;Topografia referente a Translado Offshore;5.0;515;2575;BRL;PIX;Pago  ;Marta Souza  
695;06/01/2025;2025-01;Engenharia;Eólicas NE;Recife;Topografia Silva ME  ;6,06347E+14;Consultoria;Auditoria;NFS-e;618697;AUDITORIA REFERENTE A EÓLICAS NE;3.0;378.73;1136.19;BRL;;Pendente; Fernanda Nunes
568;26/05/2023;2023-05; Compras;Translado Offshore;Porto Alegre;CloudTec Soluções;33.171.830/3256-71; TI;Telecom;Di;143251;Telecom referente a Translado Offshore;4.0;1471.57;5886.28;EUR;Boleto;Em análise;Fernanda Nunes
589;13/06/2024;2024-06;TI;DataCenter Recife;NAN;Alfa Energia S.A.;1,17715E+11;Serviços;Limpeza  ;NFS-e;;Limpeza referente a DataCenter Recife;5.0;550.5;2752.5;USD;PIX; Em análise;Marta souza
1573;06/06/2022;2022/06;Engenharia;Saneamento PE;Fortaleza;METALÚRGICA PHOENIX;3,84487E+13;Serviços;Topografia;Boleto;953554;Topografia referente a Saneamento PE;3.0;415.48;107.8;BRL;Caixa;Em análise;Marta Souza
1947;02/12/2022;2022-12;RH;Saneamento PE;Porto Alegre;CloudTec Soluções;9,74559E+14;Materiais;Tubulações;Boleto;456570;Tubulações referente a Saneamento PE;1.0;;261.98;EUR;Boleto;APROVADO; Renato Leal
1688;18/06/2024;2024-06;Financeiro;EÓLICAS NE;Salvador;Consultoria Delta;;Pessoal;Treinamento;Boleto;588085;Treinamento referente a Eólicas NE;1.0;1333.64;1333.64;EUR;PIX;EM ANÁLISE;Bruno Araújo
1420;23/02/2023;2023-02;Obras;Ponte Amazônia;MANAUS;GeoMap Engenharia;79.839.564/7274-05;Segurança  ;Brigada;NF-e  ;712879;Brigada referente a ponte amazônia;1.0;463.46;463.46;EUR;Caixa;Pago;
1392;09/03/2025;2025-03;OBRAS;Eólicas NE;Natal;Serviços Gerais BR;3,16028E+11;Segurança;Brigada;Di;117445;Brigada referente a Eólicas NE;4.0;387,38;1549,52;USD;Cartão;Pendente;Bruno Araújo
121;25/10/2024;2024-10;Engenharia  ;Eólicas NE;Salvador;Topografia Silva ME;4,88855E+11;Serviços;;NFS-e;;Terceirização referente a Eólicas NE;2.0;327.4;654.8;BRL;CARTÃO;Em análise;Carla Lima
745;22/03/2022;2022-03;Manutenção;Linha 4 Metro SP;Manaus;Serviços Gerais BR;7,31951E+14;Locação;Veículos;NFS-e;845087; Veículos referente a Linha 4 Metro SP;;958.92;4794.6;BRL;TED;Pendente;Renato Leal
1776;10/05/2022;2022-05;RH;Saneamento PE;Brasília;Consultoria Delta  ;8,41933E+14;Materiais  ;Tubulações;Di;157232;;2.0;37724.7;499.12;USD;Caixa;Pago;Paulo andrade
1932;31/10/2022;2022-10;TI;Refinaria RN;Porto Alegre;Alfa Energia S.A.;3,98725E+13;Segurança;Nan;Di;952005;VIGILÂNCIA REFERENTE A REFINARIA RN;2.0;203.45;;BRL;Caixa;Em análise;Renato leal
1805;04/02/2025;2025-02;Compras;Translado Offshore  ;São Paulo;Logisway Transportes;5,41338E+11;Serviços;Terceirização;Recibo;715275;TERCEIRIZAÇÃO REFERENTE A TRANSLADO OFFSHORE;2.0;249.89;499.78;BRL;Boleto;Aprovado;
1104;13/10/2022;2022-10;Engenharia;Translado Offshore;Belo horizonte;OFICINA DO AÇO;3,7698E+11;Serviços;Montagem;NF-e;;Montagem referente a Translado Offshore;2.0;620.56;;BRL;PIX;Pendente;Paulo Andrade
1700;01/11/2024;2024-11;TI;Ponte Amazônia;Porto Alegre;Constrular LTDA;1,1574E+13;Viagens;Hospedagem;NFS-e;101593; Hospedagem referente a Ponte Amazônia;10.0;;6923.9;BRL;PIX;Rejeitado  ;Paulo Andrade  
786;30/06/2023;2023-06;Administrativo;Porto Sul;Curitiba;Topografia Silva ME;6,87486E+14;Materiais;Ferramentas  ;NF-e;341731;Ferramentas referente a Porto Sul;5.0;1061.84;5309.2;BRL;Boleto;Aprovado;Bruno Araújo
1669;05/06/2024;2024-06;Manutenção;Refinaria RN;;GeoMap Engenharia;2,31985E+11;Locação; Veículos;NF-e;185587;Veículos referente a Refinaria RN;3.0;126.54;379.62;BRL;TED  ;Aprovado;
565;03/04/2025;2025-04; Administrativo;Refinaria RN;Natal;Transportes Atlântico;;Consultoria; Engenharia;Di  ;496381; Engenharia referente a Refinaria RN;2.0;421.98;;USD;Boleto;Rejeitado;Fernanda Nunes
975;25/01/2025;2025-01;Manutenção;Ferrovias Centro-Oeste;Brasília;Global Tools Brasil;;Energia;Eletricidade;NF-e;780569;Eletricidade referente a Ferrovias Centro-Oeste;2.0;425.14;850.28;USD;TED;Rejeitado  ;João Pereira
1171;19/10/2024;2024-10;RH;Ponte amazônia;Manaus;Transportes Atlântico;3,06711E+14;Segurança  ;Vigilância;NFS-e;416667;Vigilância referente a Ponte Amazônia;1.0;191.77;191.77;USD;Cartão  ;Aprovado;nan  
619;16/04/2023;2023-04;Logística;Eólicas NE  ;Porto Alegre;Consultoria Delta;80502949697;Locação;Galpão;Di;762559; Galpão referente a Eólicas NE;10.0;;7298.6;BRL;Cartão;Aprovado;Renato Leal
252;25/05/2023;2023-05;TI; Eólicas NE;Manaus;Oficina do aço;9,61186E+14;Locação;Equipamentos;Recibo;385306;Equipamentos referente a Eólicas NE;10.0;242.04;2420.4;BRL;PIX;PENDENTE;CARLA LIMA
298;28/05/2025;2025-05;Logística;Porto Sul;Brasília;Hotelaria Nordeste;5,6375E+14;Logística;Frete;NF-e;476371;;3.0;1328.96;3986.88;BRL;Boleto;Em análise;Marta Souza
367;29/09/2024;2024-09;TI;;Natal;GeoMap Engenharia;3,86892E+11;Serviços;Topografia;NF-e;283217;Topografia referente a Ferrovias Centro-Oeste;1.0;1290,41;1290,41;BRL;Boleto;Pendente;Renato Leal
412;04/08/2023;2023-08;Obras;Translado Offshore; nan;Serviços Gerais BR;17698416766;Logística;Frete;NF-e;138557;Frete referente a Translado Offshore;5.0;595.0;2975.0;BRL;;Pendente;Paulo Andrade
539;02/02/2023;2023-02;Manutenção; Refinaria RN;Salvador;SegurPro Monitoramento  ;8,24195E+11;Energia;Eletricidade;Boleto;782742; nan;10.0;654.77;6547.7;BRL;Cartão;Pendente;Marta Souza
234;29/03/2025;2025-03;Engenharia  ;Porto Sul;Belo Horizonte;Metalúrgica Phoenix;90.277.357/6638-95 ;Materiais;Cimento;NF-e;392272;Cimento referente a Porto Sul;3.0;312.08;936.24;USD;Boleto;Aprovado;João Pereira
1583;21/01/2022;2022-01;Segurança;Ferrovias Centro-Oeste;Porto Alegre;CloudTec Soluções;7,35417E+13;Logística;Despacho;Recibo;168514;Despacho referente a Ferrovias Centro-Oeste;4.0;196.98;787.92;BRL;Caixa;Rejeitado;
101;14/01/2023;2023-01;Administrativo;Usina Solar MG;BELO HORIZONTE;Constrular LTDA;05.594.494/5715-03;Materiais;NAN;Boleto;363193;Ferramentas referente a Usina Solar MG;4.0;162.3;649.2;USD;Cartão;Rejeitado;MARTA SOUZA
368;20/03/2023;2023-03;TI;NAN;Natal  ;Transportes Atlântico;3,33334E+11;TI;Telecom;Boleto;213032;Telecom referente a Usina Solar MG;10.0;815.88;8158.8;EUR;PIX;Pago;Bruno Araújo
1943;21/01/2022;2022-01;Financeiro;Saneamento pe;Natal;TOPOGRAFIA SILVA ME;2,66734E+13;Logística  ;Seguro;Recibo;763871;Seguro referente a Saneamento PE – URGENTE;;866.43;4332.15;BRL;TED;Rejeitado;Carla Lima
1437;14/09/2024;2024-09;RH;REFINARIA RN;São Paulo;Hotelaria Nordeste;9,39258E+13;Ti;Suporte;Nf-e;377091;Suporte referente a Refinaria RN;1.0;556.82;556.82;BRL;Caixa;Aprovado;Marta Souza
112;18/05/2023;2023-05;Segurança;Ferrovias Centro-Oeste;Salvador;Topografia Silva ME;79.730.603/7155-84; Segurança; Monitoramento;NF-e;882853;MONITORAMENTO REFERENTE A FERROVIAS CENTRO-OESTE;;425.44;1701.76;EUR;Boleto;Rejeitado;BRUNO ARAÚJO
255;02/07/2024;2024-07;Obras  ;Translado Offshore;Recife;Topografia Silva ME;9,74881E+11;Segurança;Brigada;Recibo;610323;Brigada referente a Translado Offshore;1.0;705,4;705,4;BRL;Cartão;Pago;João Pereira
887;04/08/2024;2024-08;Manutenção;Linha 4 Metro SP;Fortaleza;Companhia de Máquinas Orion;20.808.011/5602-17;Consultoria;Auditoria;Di;259966;;2.0;485.39;970.78;BRL;Ted;Aprovado;Renato Leal
1051;21/07/2022;2022-07;Compras;;São Paulo;Serviços Gerais BR;;LOGÍSTICA;Despacho;NFS-e;174955;Despacho referente a Porto Sul;;275.43;826.29;EUR;TED;Em análise;Paulo Andrade
1665;02/05/2022;2022-05;Manutenção;Porto Sul  ;Belo Horizonte  ;GeoMap Engenharia;7,69928E+14; Serviços;;Di;440352;MONTAGEM REFERENTE A PORTO SUL;;259.25;2592.5;BRL;PIX;Em análise  ;Marta Souza
1550;02/02/2024;2024-02;TI;Refinaria RN;Brasília;GeoMap Engenharia  ;2,57592E+11;TI;Cloud;Boleto;147418;Cloud referente a refinaria rn;2.0;;;BRL;Cartão  ;Pendente;Renato Leal
1687;27/07/2022;2022-07;Engenharia;DataCenter Recife;Salvador  ;Hotelaria Nordeste;6,34884E+13;Materiais; EPIs;Recibo;488346;EPIs referente a DataCenter Recife;4.0;211.04;844.16;USD;Boleto;Pendente;Bruno Araújo
1475;02/04/2022;2022-04;Engenharia;Linha 4 Metro SP;Salvador;Hotelaria Nordeste;8,49524E+14;Segurança  ;Brigada;NFS-e;453581;Brigada referente a Linha 4 Metro SP;10.0;740.88;7408.8;BRL;Cartão;Pago;Renato Leal
362;24/07/2023;2023-07;Financeiro;Ferrovias Centro-Oeste;Recife;SERVIÇOS GERAIS BR;54.199.161/5436-73;Materiais;Tubulações;Recibo  ;; Tubulações referente a Ferrovias Centro-Oeste;3.0;337.76;1013.28;BRL;Caixa;Aprovado; João Pereira
1429;17/02/2025;2025-02;Logística;Translado Offshore;Curitiba;Companhia de Máquinas Orion;15.190.799/0950-74;TI;Suporte;NFS-e;434423;Suporte referente a Translado Offshore;2.0;403,92;807,84;EUR;;Pago;Carla Lima
556;07/06/2025;2025-06;Administrativo;USINA SOLAR MG;Recife;Constrular LTDA;9,11386E+14;Pessoal;Recrutamento;Boleto;414132;;1.0;364.61;;BRL;TED;Pendente;
185;20/01/2023;2023-01;Compras;Usina Solar MG;Natal;GLOBAL TOOLS BRASIL;5,10611E+14;Ti;Licenças  ;Di;784007;Licenças referente a Usina Solar MG;4.0;398.75;1595.0;BRL;nan  ;Pago;Fernanda Nunes
211;07/02/2023;2023-02;Manutenção;Porto Sul;Salvador;Constrular LTDA;;TI;Cloud;Nf-e;252988;Cloud referente a Porto Sul;;380,79;1142,37;BRL;PIX;Pago;Renato Leal
479;22/02/2023;2023-02;RH;Porto Sul;Brasília;Constrular LTDA;6,87531E+13;Serviços;Montagem;Recibo;508121;Montagem referente a Porto Sul;2.0;185.21;370.42;BRL;Pix;Pago;João Pereira  
1342;08/02/2022;2022-02;Compras;Linha 4 Metro SP;Belo Horizonte;Logisway Transportes;5,39549E+14;Locação;Equipamentos;DI;546023;Equipamentos referente a Linha 4 Metro SP;20.0;709.32;14186.4;BRL;Cartão;Rejeitado;Paulo Andrade
850;16/08/2022;2022-08;Administrativo;Translado Offshore;Curitiba;Oficina do Aço;44.550.840/7664-08;Pessoal;Treinamento;Boleto;587896;Treinamento referente a Translado Offshore;20.0;1790.13;35802.6;BRL;Boleto;Pago  ;Bruno Araújo
1965;18/10/2022;2022-10;TI;;Salvador;Metalúrgica Phoenix;5,46524E+13;Logística;Despacho;Recibo;549412;Despacho referente a Translado Offshore  ;2.0;762.06;1524.12;BRL;PIX;Em análise;Bruno Araújo
1068;02/02/2024;2024-02;Obras;Translado Offshore;Nan;OFICINA DO AÇO;7,38057E+14;Logística;Despacho;Boleto;;Despacho referente a Translado Offshore;;571,53;11430,6;BRL;Caixa;Aprovado;Marta Souza
299;07/06/2022;2022/06;Administrativo;Ponte Amazônia;Curitiba;GeoMap Engenharia;6,89961E+13;Serviços;Montagem;Boleto;;MONTAGEM REFERENTE A PONTE AMAZÔNIA;2.0;268,47;536,94;USD;PIX;Pendente;Bruno Araújo
57;15/02/2024;2024-02;TI;Saneamento PE;Porto Alegre;Serviços Gerais BR;7,6624E+13;TI;Hardware  ;Nf-e;610338;Hardware referente a Saneamento PE;2.0;508.78;1017.56;BRL;TED;Pendente;Marta Souza
536;01/12/2024;2024-12;Segurança  ;NAN;Salvador;Metalúrgica Phoenix;7,12427E+13;LOCAÇÃO;Veículos;Recibo;665680;Veículos referente a Ponte Amazônia;4.0;1721.21;6884.84;USD;Cartão;Em análise;Bruno Araújo
110;22/11/2024;2024-11;Administrativo;Translado Offshore;Fortaleza;Alfa Energia S.A.;15832798481;Pessoal;Benefícios;Boleto;936728;Benefícios referente a Translado Offshore;1.0;;410.04;BRL; Caixa;Em análise;Bruno Araújo
1212;16/03/2022;2022-03;Compras;Translado Offshore;;Topografia Silva ME;9,86738E+13;Pessoal;Folha;Boleto;121942;Folha referente a Translado Offshore;;1005.83;20116.6;BRL;;Pendente; Paulo Andrade
351;12/03/2025;2025-03;Segurança  ;;SÃO PAULO;Companhia de Máquinas Orion;5,21185E+14;Logística;Despacho;Di;451079;Despacho referente a Ponte Amazônia;20.0;158.68;3173.6;BRL; Cartão;Pendente;Bruno Araújo
671;02/05/2024;2024-05;Financeiro;Linha 4 Metro SP;Manaus;Logisway Transportes;20.412.522/5498-02;Serviços;Terceirização  ;NF-e  ;;Terceirização referente a linha 4 metro sp;5.0;1002.8;;BRL;Boleto  ;Pendente;Carla Lima
129;26/07/2022;2022-07;TI;DataCenter Recife;Curitiba;Metalúrgica Phoenix;4,5723E+12;Consultoria;AMBIENTAL;Boleto;109525;Ambiental referente a DataCenter Recife;1.0;933.39;933.39;EUR;; Aprovado;Fernanda Nunes
924;14/11/2022;2022-11;Compras;Saneamento PE; Salvador;Logisway Transportes;4,2489E+14;Segurança;Alarmes;Boleto;754616;Alarmes referente a saneamento pe;2.0;702.07;1404.14;BRL;PIX;Pago;Paulo Andrade
652;01/06/2024;2024-06; Obras;Linha 4 Metro SP  ;Curitiba;Serviços Gerais BR;20.236.440/7394-10;Consultoria;Jurídica;Boleto;373981;Jurídica referente a Linha 4 Metro SP;4.0;861.18;3444.72;BRL;Boleto;Em análise;Carla Lima
1595;18/07/2025;2025-07;Engenharia;;Natal;Logisway Transportes;7,60886E+13;Materiais;Ferramentas;Recibo;392665;Ferramentas referente a Ponte Amazônia  ;2.0;733.39;1466.78;EUR;Boleto;Pago;Bruno Araújo
1917;31/08/2024;2024-08;Engenharia;Porto Sul;Salvador;Global Tools Brasil  ;4,717E+14;Consultoria;ENGENHARIA;NFS-e;596486;Engenharia referente a Porto Sul;3.0;303.26;909.78;BRL;PIX;Aprovado;Fernanda Nunes
612;06/06/2025;2025-06;Manutenção;Usina Solar MG;Natal;Hotelaria Nordeste;8,41234E+13;Pessoal;Recrutamento;NF-e;;Recrutamento referente a Usina Solar MG;1.0;;233.72;BRL;Caixa;Pago;Carla lima
1376;06/12/2022;2022-12;Compras;Saneamento PE;Porto Alegre;Oficina do Aço;3,90066E+12;Viagens;Alimentação;NF-e;531912;Alimentação referente a Saneamento PE;3.0;474,48;;EUR;Boleto;Rejeitado;Marta Souza
1648;14/01/2025;2025-01;Obras;Translado Offshore;Belo Horizonte;Hotelaria Nordeste;1,79359E+11;Consultoria;Auditoria;Recibo;278632;Auditoria referente a Translado Offshore;1.0;347.09;347.09;BRL;Cartão;Pendente;Marta Souza
